phoneme, voiced, vowel
AA, 1, 1
AE, 1, 1
AH, 1, 1
AO, 1, 1
AW, 1, 1
AY, 1, 1
B, 0, 0
CH, 0, 0
D, 0, 0
DH, 0, 0
EH, 1, 1
ER, 1, 0
EY, 1, 1
F, 0, 0
G, 0, 0
HH, 0, 0
IH, 1, 1
IY, 1, 1
JH, 0, 0
K, 0, 0
L, 1, 0
M, 1, 0
N, 1, 0
NG, 0, 0
OW, 1, 1
OY, 1, 1
P, 0, 0
R, 1, 0
S, 0, 0
SH, 0, 0
T, 0, 0
TH, 0, 0
UH, 1, 1
UW, 1, 1
V, 1, 0
W, 1, 0
Y, 1, 0
Z, 1, 0
ZH, 1, 0
<silent>, 0, 0
